Id_SKU;Nombre_SKU;Nombre Kupfer;Nombre Constructor 31;Nombre Easy;Nombre Construmart;Nombre Sodimac;Nombre Servimetal
1040135;PERFIL RECTANGULAR 80 X 40 X 2.0                  ;Perfiles Tubulares Rectangulares-80 x 40-2.0 MM;PERFIL RECTANGULAR 40X80X2.0MM;Perfil rectángulo 80X40X2 mm 6 m (21.36 kg);PERFIL RECTANGULAR 80 X 40 X 2 MM 6 MT;80x40x2mm x6m Perfil tubular rectangular;RECTANGULAR 40 X 80 X 2.0 mm
1040140;PERFIL RECTANGULAR 80 X 40 X 3.0                  ;Perfiles Tubulares Rectangulares-80 x 40-3.0 MM;PERFIL RECTANGULAR 40X80X3.0MM;Perfil rectángulo 80X40X3 mm 6 m (31.14 kg);PERFIL RECTANGULAR 80 X 40 X 3 MM 6 MT;80x40x3.0mm x6m Perfil tubular rectangular;RECTANGULAR 40 X 80 X 3.0 mm
2010310;PLANCHA DIAMANTADA 3000 X 1000 X 2.5              ;PLANCHA DIAMANTADA 2.5 MM-1000 MM-3000 MM;;;;;PLANCHA DIAMANTADA 1000 X 3000 X 2.5 mm
2200020;PLANCHA OSB HOME 11 MM 1,22 X 2,44                ;;;;TABLERO OSB 11.1 X 1220 X 2440 MM;OSB estructural 11 mm 122 x 244 cm;
2200000;PLANCHA OSB HOME 2-9MM 1,22 x 2,44                ;;;;;;
4020025;SACO CEMENTO                                      ;;CEMENTO TRANSEX ESPECIAL 25KG;Cemento especial 25 kg Cbb;CEMENTO ESPECIAL 25 KG POLPAICO;Cemento Polpaico 25 kilos;
30702600;SOLDADURA MYH 6011 3/32 PINTA AZUL 1 KG           ;;;Electrodo 3/32'' punto azul display 1 kg M&H;"ELECTRODO 6011 3/32"" 80 A 1 KG";;SOLDADURA HYUNDAI 6011 – 3/32
2200005;TERCIADO PINO EST.18 MM 1,22 X 2,44 MT            ;;;;;Terciado estructural pino 18mm 1.22x2.44.;
2010105;PLANCHA LAM.CAL 3000X1000X2.0                     ;PLANCHA LAMINADO CALIENTE A-36 3000x1000x2mm;;;PLANCHA LAMINADO EN CALIENTE 2 X 1000 X 3000 MM;Plancha laminado caliente 3 mm x 1 x 3 mt;PLANCHA DE 1000 X 3000 X 2.0 mm
1600095;FE PLETINA 50 X 5.0                               ;PLETINA COMERCIAL-50 X 5MM;PLETINA 50X5.0MM;Perfil pletina 50X5 mm 6 m (11.76 kg);BARRA PLANA LAMINADA 50 X 5 MM 11.76 KG;;PLETINA 50 X 5 mm
